position_action,angle_action,gripper_position,gripper_angle,gripper_velocity,gripper_angular_velocity,target_position,target_angle,target_velocity,target_angular_velocity,closest_point,contact_force,rewards,finger1_min_dists,finger2_min_dists,finger3_min_dists,num_contact_points,fingertip_num_contact_points,accumulated_contact_force,totalLateralFrictionForce
[0.09267068 0.9892082  0.8483052 ],[-0.04373002  0.35659587  0.0904665 ],[0.00126787 0.02180154 1.01919344],[0.02630373 0.14361996 0.06659392],[0.04448186 0.47481989 0.40718693],[-0.3194348   1.69480113  0.4607981 ],[0.1463467  0.97446476 1.19316545],[ 0. -0.  0.],[0.08290911 0.04807358 0.00212694],[0. 0. 0.],0.8054154790670026,0,1.196629415571794,[0.78834856 0.76268701 0.731937  ],[0.78204308 0.75671928 0.72489721],[0.7479036  0.72289472 0.6926179 ],0,[0 0 0],0,[0 0 0]
[0.10376406 0.98902893 0.8435192 ],[-0.05186659  0.30561972  0.07634723],[0.0014754  0.0237796  1.02088048],[0.02526728 0.14973394 0.06811155],[0.04980678 0.47473388 0.40488919],[-0.3442748   1.44746786  0.40058609],[0.14669209 0.97466503 1.19317431],[ 0. -0.  0.],[0.08289397 0.04806479 0.00212655],[0. 0. 0.],0.8033364434461069,0,1.1920549499384974,[0.78640913 0.760747   0.73001252],[0.78004033 0.75471469 0.72290477],[0.7458487  0.72083587 0.69057207],0,[0 0 0],0,[0 0 0]
[0.11568975 0.98884785 0.8385562 ],[-0.05675203  0.2582637   0.06099069],[0.00170678 0.0257573  1.02255759],[0.02413272 0.15490046 0.06932408],[0.05553102 0.47464693 0.40250737],[-0.35364698  1.21855796  0.3323221 ],[0.14703742 0.97486526 1.19318317],[ 0. -0.  0.],[0.08287883 0.04805602 0.00212616],[0. 0. 0.],0.8012655273349719,0,1.1884246962016682,[0.78446498 0.75880257 0.72808185],[0.77804297 0.75271616 0.72091669],[0.74379864 0.71878248 0.68852965],0,[0 0 0],0,[0 0 0]
[0.1281054 0.9886761 0.833789 ],[-0.06039238  0.21703947  0.04859209],[0.00196299 0.02773465 1.02422517],[0.02292501 0.15924218 0.0702903 ],[0.06149062 0.4745645  0.4002187 ],[-0.35826632  1.01950519  0.27723269],[0.14738268 0.97506546 1.19319203],[ 0. -0.  0.],[0.08286369 0.04804724 0.00212577],[0. 0. 0.],0.7992025934778879,0,1.1856062705582409,[0.78251563 0.75685317 0.72614478],[0.77604818 0.75072064 0.71893025],[0.7417543  0.71673515 0.68649164],0,[0 0 0],0,[0 0 0]
[0.13951123 0.9885526  0.82891107],[-0.06292433  0.18140602  0.04256892],[0.00224202 0.02971175 1.02588299],[0.02166663 0.1628711  0.07113714],[0.06696542 0.47450522 0.39787731],[-0.35889311  0.8477017   0.25167123],[0.14772789 0.97526562 1.19320089],[ 0. -0.  0.],[0.08284856 0.04803846 0.00212538],[0. 0. 0.],0.797143539602971,0,1.1834531291747423,[0.78056582 0.75490325 0.72420717],[0.7740526  0.74872426 0.7169429 ],[0.73971533 0.71469304 0.6844587 ],0,[0 0 0],0,[0 0 0]
[0.15124035 0.9884343  0.82393646],[-0.06335437  0.15075016  0.03652227],[0.0025445  0.03168862 1.02753087],[0.02039962 0.16588676 0.07186403],[0.0725954  0.47444845 0.39548948],[-0.35092183  0.70047854  0.22421275],[0.14807302 0.97546574 1.19320974],[ 0. -0.  0.],[0.08283343 0.04802969 0.002125  ],[0. 0. 0.],0.795090762191169,0,1.1818735046703592,[0.77861021 0.75294742 0.72226318],[0.77205262 0.74672343 0.71495059],[0.73768481 0.71265914 0.68243324],0,[0 0 0],0,[0 0 0]
[0.16297698 0.98832536 0.81891394],[-0.06354344  0.12446678  0.03185487],[0.00287045 0.03366527 1.0291687 ],[0.01912893 0.16837668 0.07249831],[0.07822889 0.4743961  0.39307915],[-0.3430312   0.57433701  0.20296064],[0.1484181  0.97566583 1.19321859],[ 0. -0.  0.],[0.0828183  0.04802092 0.00212461],[0. 0. 0.],0.7930436141198705,0,1.1807813938135356,[0.77664982 0.75098668 0.72031393],[0.77004861 0.74471849 0.71295381],[0.73566216 0.71063287 0.68041485],0,[0 0 0],0,[0 0 0]
[0.17460644 0.98822343 0.8138087 ],[-0.06279117  0.1020174   0.02776885],[0.00321966 0.03564172 1.03079631],[0.01787317 0.17041748 0.07305153],[0.08381112 0.47434724 0.39062815],[-0.33189597  0.46689724  0.18358256],[0.14876311 0.97586588 1.19322744],[ 0. -0.  0.],[0.08280318 0.04801215 0.00212422],[0. 0. 0.],0.7910027362653005,0,1.1801039279777694,[0.77468304 0.74901945 0.71835773],[0.7680394  0.74270825 0.71095122],[0.73364834 0.70861515 0.67840428],0,[0 0 0],0,[0 0 0]
[0.18615127 0.98812723 0.80863976],[-0.06187618  0.08290207  0.02449977],[0.00359197 0.03761797 1.03241359],[0.01663581 0.17207594 0.07353984],[0.08935255 0.47430102 0.38814755],[-0.32098483  0.37553287  0.16780118],[0.14910806 0.97606589 1.19323629],[ 0. -0.  0.],[0.08278805 0.04800338 0.00212383],[0. 0. 0.],0.7889678249050798,0,1.1797771446908154,[0.77271057 0.74704636 0.71639524],[0.76602547 0.7406932  0.70894337],[0.73164288 0.70660554 0.67640116],0,[0 0 0],0,[0 0 0]
[0.19834197 0.9880693  0.80274796],[-0.05967003  0.06718934  0.02183878],[0.00398865 0.03959411 1.03401909],[0.01544255 0.17342009 0.07397534],[0.09520408 0.47427322 0.38531941],[-0.30512516  0.30092705  0.15374425],[0.14945295 0.97626587 1.19324514],[ 0. -0.  0.],[0.08277294 0.04799461 0.00212344],[0. 0. 0.],0.7869398150628931,0,1.1797347703202234,[0.77073018 0.74506519 0.71442412],[0.76400496 0.73867145 0.70692823],[0.72964734 0.70460552 0.67440678],0,[0 0 0],0,[0 0 0]
[0.2115928  0.98806727 0.79572904],[-0.05659235  0.05465055  0.02002382],[0.00441183 0.04157025 1.03561055],[0.01431086 0.17451341 0.07437483],[0.10156446 0.47427223 0.38195037],[-0.28621565  0.24185162  0.14289012],[0.14979778 0.97646581 1.19325399],[ 0. -0.  0.],[0.08275782 0.04798585 0.00212306],[0. 0. 0.],0.7849190735180953,0,1.179914086953876,[0.76874113 0.74307517 0.71244355],[0.76197709 0.7366422  0.70490496],[0.72766244 0.70261577 0.67242177],0,[0 0 0],0,[0 0 0]
[0.22456133 0.98806906 0.7885152 ],[-0.05420947  0.0440352   0.01866031],[0.00486096 0.04354638 1.03718758],[0.01322673 0.17539436 0.0747473 ],[0.10778947 0.47427312 0.37848726],[-0.2712554   0.19175501  0.13468261],[0.15014254 0.97666572 1.19326283],[ 0. -0.  0.],[0.08274271 0.04797709 0.00212267],[0. 0. 0.],0.782904736311982,0,1.1802805272884087,[0.76674587 0.74107884 0.71045618],[0.75994428 0.73460789 0.70287612],[0.72568648 0.70063471 0.67044471],0,[0 0 0],0,[0 0 0]
[0.23717463 0.98807263 0.78114796],[-0.05188072  0.03510666  0.01746094],[0.00533531 0.04552253 1.03874988],[0.01218919 0.17609671 0.07509596],[0.11384386 0.47427487 0.374951  ],[-0.25710484  0.14974024  0.12721728],[0.15048724 0.97686559 1.19327167],[ 0. -0.  0.],[0.0827276  0.04796833 0.00212228],[0. 0. 0.],0.7808967465894684,0,1.1808040583862156,[0.76474496 0.73907673 0.70846251],[0.7579073  0.73256935 0.7008425 ],[0.72371905 0.69866195 0.66847522],0,[0 0 0],0,[0 0 0]
[0.24948275 0.98807776 0.7736343 ],[-0.04993284  0.02762842  0.01657307],[0.00583427 0.04749868 1.04029715],[0.01119068 0.17664951 0.07542699],[0.11975167 0.47427729 0.37134488],[-0.2452313   0.1145562   0.12149316],[0.15083187 0.97706542 1.19328051],[ 0. -0.  0.],[0.08271249 0.04795957 0.00212189],[0. 0. 0.],0.7788945923618141,0,1.1814582163647753,[0.76273992 0.73707037 0.70646397],[0.75586763 0.73052809 0.69880567],[0.72175912 0.69669653 0.66651242],0,[0 0 0],0,[0 0 0]
[0.2614417  0.9880836  0.76597595],[-0.04814667  0.0213834   0.01583016],[0.00635715 0.04947485 1.0418291 ],[0.01022791 0.17707739 0.07574326],[0.12549197 0.4742801  0.3676689 ],[-0.23456544  0.08522169  0.11655987],[0.15117644 0.97726521 1.19328935],[ 0. -0.  0.],[0.08269739 0.04795081 0.00212151],[0. 0. 0.],0.776898079202227,0,1.1822210177630597,[0.76073149 0.73506056 0.70446121],[0.75382619 0.72848505 0.69676658],[0.71980615 0.69473797 0.66455585],0,[0 0 0],0,[0 0 0]
[0.27306342 0.9880898  0.75818   ],[-0.04661077  0.01619494  0.01526821],[0.00690328 0.05145103 1.04334546],[0.00929588 0.17740149 0.07604838],[0.13107038 0.47428305 0.36392692],[-0.22544775  0.06086505  0.11266743],[0.15152095 0.97746497 1.19329819],[ 0. -0.  0.],[0.08268229 0.04794205 0.00212112],[0. 0. 0.],0.7749068841107231,0,1.1830733501679984,[0.75872069 0.73304834 0.70245532],[0.75178402 0.72644129 0.69472634],[0.71785945 0.69278562 0.66260492],0,[0 0 0],0,[0 0 0]
[0.2843356 0.988096  0.7502506],[-0.0452407   0.01190698  0.01481807],[0.00747195 0.05342722 1.04484596],[0.00839113 0.17763979 0.07634459],[0.13648112 0.47428609 0.36012026],[-0.21746001  0.04075646  0.10943422],[0.1518654  0.97766469 1.19330703],[ 0. -0.  0.],[0.08266719 0.0479333  0.00212073],[0. 0. 0.],0.77292079800283,0,1.1839991379738704,[0.75670825 0.73103448 0.70044714],[0.74974194 0.72439765 0.69268578],[0.71591854 0.69083901 0.6606592 ],0,[0 0 0],0,[0 0 0]
[0.29526114 0.9881021  0.7421942 ],[-0.04404819  0.00838852  0.0144788 ],[0.00806247 0.05540343 1.04633035],[0.00751024 0.17780771 0.07663406],[0.14172538 0.47428899 0.35625318],[-0.21055512  0.0242826   0.10684974],[0.15220978 0.97786438 1.19331586],[ 0. -0.  0.],[0.08265209 0.04792455 0.00212034],[0. 0. 0.],0.7709395997860452,0,1.1849845122828053,[0.7546949  0.72901971 0.69843745],[0.74770072 0.72235491 0.69064572],[0.7139829  0.68889769 0.65871827],0,[0 0 0],0,[0 0 0]
[0.3058406 0.9881077 0.7340162],[-0.04300267  0.00552356  0.01422083],[0.00867416 0.05737964 1.04779839],[0.00665026 0.17791832 0.07691842],[0.14680353 0.47429168 0.35232775],[-0.20457637  0.01088852  0.10476237],[0.1525541  0.97806403 1.1933247 ],[ 0. -0.  0.],[0.082637   0.0479158  0.00211996],[0. 0. 0.],0.7689631033272949,0,1.1860177839248824,[0.75268129 0.72700467 0.69642709],[0.74566102 0.72031377 0.68860686],[0.71205214 0.68696128 0.65678177],0,[0 0 0],0,[0 0 0]
[0.3160764 0.9881127 0.7257228],[-0.04208863  0.00321507  0.01403201],[0.00930631 0.05935587 1.04924983],[0.00580864 0.17798279 0.07719901],[0.15171663 0.47429405 0.34834735],[-1.99401718e-01  1.22452667e-04  1.03095825e-01],[0.15289836 0.97826364 1.19333353],[ 0. -0.  0.],[0.08262191 0.04790705 0.00211957],[0. 0. 0.],0.7669911397618351,0,1.1870889753827814,[0.75066801 0.72498996 0.69441675],[0.74362343 0.71827484 0.68656984],[0.71012586 0.68502941 0.65484938],0,[0 0 0],0,[0 0 0]
