position_action,angle_action,gripper_position,gripper_angle,gripper_velocity,gripper_angular_velocity,target_position,target_angle,target_velocity,target_angular_velocity,closest_point,contact_force,rewards,finger1_min_dists,finger2_min_dists,finger3_min_dists,num_contact_points,fingertip_num_contact_points,accumulated_contact_force,totalLateralFrictionForce
[0.487885   0.9842887  0.14837289],[-0.01028091 -0.00216269  0.01841533],[0.0719469  0.18964634 1.09935019],[-0.03549117  0.1708045   0.09281064],[0.23418474 0.47245855 0.07121948],[-0.04742814 -0.01480459  0.0967777 ],[0.17548101 0.99135784 1.19391286],[ 0. -0.  0.],[0.08163264 0.04733343 0.00209419],[0. 0. 0.],0.6435813239424706,0,1.2653347063991378,[0.62670462 0.60118573 0.57052668],[0.62140064 0.5961736  0.56441415],[0.58779431 0.5627016  0.53226127],0,[0 0 0],0,[0 0 0]
[0.48716068 0.98414123 0.14552379],[-0.01006758 -0.00140572  0.01872432],[0.07292122 0.19161463 1.09964124],[-0.03569238  0.17077649  0.09318512],[0.23383708 0.47238778 0.06985189],[-0.04675745 -0.01111035  0.0980839 ],[0.17582108 0.99155503 1.19392158],[ 0. -0.  0.],[0.08161775 0.0473248  0.00209381],[0. 0. 0.],0.64177057885065,0,1.2664384634823533,[0.62491773 0.59940464 0.56874352],[0.61964281 0.59441655 0.56266379],[0.58599974 0.56090676 0.53047188],0,[0 0 0],0,[0 0 0]
[0.48642683 0.98399115 0.14273798],[-0.00987172 -0.00073504  0.01896596],[0.07389408 0.19358261 1.09992672],[-0.03588967  0.17076191  0.09356443],[0.23348482 0.47231572 0.0685147 ],[-0.04613154 -0.0078362   0.09908182],[0.17616109 0.99175218 1.19393031],[ 0. -0.  0.],[0.08160287 0.04731617 0.00209343],[0. 0. 0.],0.6399603952367952,0,1.267530992833208,[0.62313283 0.59762574 0.56696258],[0.61788665 0.5926609  0.5609152 ],[0.58420564 0.55911236 0.52868298],0,[0 0 0],0,[0 0 0]
[0.48568344 0.9838387  0.14001381],[-0.00969195 -0.00013793  0.01915157],[0.07486544 0.19555029 1.10020675],[-0.03608337  0.17075926  0.09394745],[0.233128   0.47224254 0.06720709],[-0.0455507  -0.00492049  0.09982468],[0.17650104 0.99194929 1.19393903],[ 0. -0.  0.],[0.08158798 0.04730754 0.00209305],[0. 0. 0.],0.6381508071436652,0,1.268613971495738,[0.62134989 0.59584896 0.5651838 ],[0.61613216 0.59090663 0.55916836],[0.58241201 0.5573184  0.52689457],0,[0 0 0],0,[0 0 0]
[0.48493195 0.9836838  0.1373514 ],[-0.00952333  0.00039446  0.019292  ],[0.07583531 0.19751765 1.10048145],[-0.03627376  0.17076724  0.09433331],[0.23276737 0.47216822 0.06592866],[-0.04501057 -0.00232727  0.10036974],[0.17684093 0.99214637 1.19394775],[ 0. -0.  0.],[0.0815731  0.04729891 0.00209266],[0. 0. 0.],0.6363418386011951,0,1.2696888541375433,[0.6195688  0.59407424 0.56340711],[0.61437919 0.5891539  0.55742328],[0.58061886 0.5555249  0.52510665],0,[0 0 0],0,[0 0 0]
[0.48417306 0.98352647 0.1347475 ],[-0.00936365  0.00087202  0.01939249],[0.07680365 0.19948471 1.10075095],[-0.03646097  0.17078477  0.09472117],[0.2324031  0.47209272 0.06467879],[-4.44741720e-02  8.73468815e-06  1.00721474e-01],[0.17718076 0.99234341 1.19395646],[ 0. -0.  0.],[0.08155822 0.04729028 0.00209228],[0. 0. 0.],0.6345335193901587,0,1.2707568866072096,[0.61778955 0.59230154 0.56163245],[0.61262747 0.58740288 0.55567996],[0.57882619 0.55373187 0.52331922],0,[0 0 0],0,[0 0 0]
[0.4834069  0.98336697 0.13220167],[-0.00921375  0.00130117  0.01946259],[0.07777047 0.20145144 1.10101535],[-0.03664517  0.17081088  0.09511042],[0.23203535 0.47201614 0.06345679],[-0.04396352  0.00210938  0.10093574],[0.17752052 0.99254042 1.19396518],[ 0. -0.  0.],[0.08154335 0.04728166 0.0020919 ],[0. 0. 0.],0.6327258650653101,0,1.2718191267749108,[0.6160121  0.59053083 0.55985979],[0.61087699 0.58565357 0.55393838],[0.57703401 0.55193932 0.52153228],0,[0 0 0],0,[0 0 0]
[0.48263454 0.9832051  0.12971199],[-0.00907105  0.00168908  0.01950681],[0.07873574 0.20341785 1.10127477],[-0.03682652  0.17084475  0.09550056],[0.23166462 0.47193845 0.06226174],[-0.04346959  0.00401     0.10103213],[0.17786022 0.99273739 1.1939739 ],[ 0. -0.  0.],[0.08152848 0.04727303 0.00209152],[0. 0. 0.],0.6309188895666291,0,1.2728764814458224,[0.61423641 0.58876207 0.55808908],[0.60912774 0.58390597 0.55219855],[0.57524232 0.55014724 0.51974582],0,[0 0 0],0,[0 0 0]
[0.48185647 0.9830409  0.12727726],[-0.00893396  0.00203979  0.01952887],[0.07969945 0.20538393 1.10152933],[-0.03700513  0.17088563  0.09589114],[0.23129115 0.47185963 0.06109307],[-0.04298645  0.0057307   0.10102701],[0.17819986 0.99293433 1.19398261],[ 0. -0.  0.],[0.08151361 0.04726441 0.00209114],[0. 0. 0.],0.6291126049652317,0,1.2739297622362835,[0.61246244 0.58699521 0.55632029],[0.60737969 0.58216007 0.55046045],[0.57345113 0.54835566 0.51795986],0,[0 0 0],0,[0 0 0]
[0.48107398 0.98287463 0.12489629],[-0.00880182  0.00235927  0.01953411],[0.0806616  0.20734968 1.10177912],[-0.0371811   0.1709329   0.09628181],[0.23091555 0.47177984 0.05995021],[-0.04251353  0.00730027  0.10094554],[0.17853944 0.99313123 1.19399132],[ 0. -0.  0.],[0.08149874 0.04725579 0.00209076],[0. 0. 0.],0.6273070184639583,0,1.2749796375082896,[0.61069017 0.58523024 0.55455337],[0.60563283 0.58041585 0.54872407],[0.57166043 0.54656457 0.51617439],0,[0 0 0],0,[0 0 0]
[0.480286   0.98270607 0.12256753],[-0.0086748   0.00265145  0.01952422],[0.08162217 0.20931509 1.10202426],[-0.03735453  0.17098602  0.09667229],[0.23053731 0.47169892 0.05883241],[-0.04205331  0.00873743  0.10079585],[0.17887896 0.99332809 1.19400003],[ 0. -0.  0.],[0.08148388 0.04724718 0.00209038],[0. 0. 0.],0.6255021363898936,0,1.2760266941371907,[0.60891956 0.58346713 0.55278831],[0.60388713 0.57867331 0.54698939],[0.56987024 0.54477399 0.51438942],0,[0 0 0],0,[0 0 0]
[0.47949445 0.98253536 0.12029052],[-0.00855076  0.00291955  0.01950312],[0.08258116 0.21128017 1.10226484],[-0.03752548  0.17104449  0.09706234],[0.23015737 0.47161698 0.05773944],[-0.04159706  0.01005853  0.10059502],[0.17921841 0.99352492 1.19400874],[ 0. -0.  0.],[0.08146902 0.04723856 0.00208999],[0. 0. 0.],0.623697962953969,0,1.2770714375334866,[0.60715059 0.58170585 0.55102508],[0.60214259 0.57693243 0.54525641],[0.56808056 0.5429839  0.51260494],0,[0 0 0],0,[0 0 0]
[0.47869968 0.9823625  0.11806297],[-0.00843084  0.00316572  0.019472  ],[0.08353856 0.21324489 1.10250096],[-0.03769403  0.17110789  0.09745177],[0.22977587 0.47153401 0.05667022],[-0.04115093  0.01127333  0.10034967],[0.1795578  0.99372171 1.19401745],[ 0. -0.  0.],[0.08145416 0.04722994 0.00208961],[0. 0. 0.],0.6218945006660539,0,1.2781143227597873,[0.60538324 0.57994624 0.54926365],[0.60039917 0.5751932  0.54352511],[0.5662914  0.54119433 0.51082097],0,[0 0 0],0,[0 0 0]
[0.4779011  0.9821875  0.11588442],[-0.0083133   0.00339293  0.01943326],[0.08449436 0.21520927 1.10273273],[-0.03786023  0.17117584  0.09784043],[0.22939256 0.47145001 0.05562451],[-0.0407081   0.01239684  0.10006981],[0.17989713 0.99391846 1.19402615],[ 0. -0.  0.],[0.08143931 0.04722133 0.00208923],[0. 0. 0.],0.6200917513977804,0,1.279155739214752,[0.60361748 0.57818821 0.54750401],[0.59865686 0.57345561 0.54179548],[0.56450275 0.53940527 0.50903749],0,[0 0 0],0,[0 0 0]
[0.47709978 0.98201025 0.11375415],[-0.00819892  0.00360429  0.01938868],[0.08544856 0.21717329 1.10296024],[-0.03802414  0.17124801  0.09822818],[0.22900791 0.4713649  0.05460198],[-0.04027354  0.01344353  0.09976463],[0.1802364  0.99411518 1.19403485],[ 0. -0.  0.],[0.08142446 0.04721272 0.00208885],[0. 0. 0.],0.6182897152202335,0,1.2801960061950948,[0.6018533  0.57643175 0.54574613],[0.59691565 0.57171965 0.54006751],[0.56271461 0.53761674 0.50725452],0,[0 0 0],0,[0 0 0]
[0.4763341  0.9818305  0.11150825],[-0.00877339  0.00414562  0.01910114],[0.08640123 0.21913695 1.10318326],[-0.03819955  0.171331    0.09861019],[0.2286404  0.47127862 0.05352395],[-0.04323754  0.01574686  0.09885651],[0.18057561 0.99431187 1.19404356],[ 0. -0.  0.],[0.08140961 0.04720411 0.00208847],[0. 0. 0.],0.6164880470218694,0,1.2812297735129552,[0.60009207 0.57467846 0.54399163],[0.59517747 0.56998741 0.53834333],[0.56092577 0.53582758 0.50547092],0,[0 0 0],0,[0 0 0]
[0.4755478  0.9816494  0.10915625],[-0.00939792  0.00481915  0.01860201],[0.08735233 0.22110025 1.10340157],[-0.03838744  0.17142747  0.09898221],[0.22826297 0.47119172 0.05239499],[-0.04650015  0.01865608  0.09697435],[0.18091475 0.99450851 1.19405226],[ 0. -0.  0.],[0.08139476 0.0471955  0.00208809],[0. 0. 0.],0.6146869148826525,0,1.282256601652687,[0.59833376 0.5729285  0.54224044],[0.59344261 0.56825926 0.53662325],[0.55913616 0.53403778 0.5036866 ],0,[0 0 0],0,[0 0 0]
[0.47473705 0.98146677 0.1068306 ],[-0.00984031  0.00540578  0.01814961],[0.0883018  0.22306318 1.10361523],[-0.03858406  0.17153569  0.09934514],[0.22787372 0.47110402 0.05127923],[-0.04883948  0.02124355  0.09515718],[0.18125384 0.99470513 1.19406095],[ 0. -0.  0.],[0.08137992 0.0471869  0.00208771],[0. 0. 0.],0.6128864340416758,0,1.2832781007634275,[0.59657798 0.57118144 0.54049211],[0.59171056 0.56653466 0.53490673],[0.55734611 0.53224831 0.50190187],0,[0 0 0],0,[0 0 0]
[0.47392213 0.9812825  0.10455394],[-0.01021975  0.00592875  0.01774025],[0.08924964 0.22502574 1.10382434],[-0.03878827  0.17165438  0.09969989],[0.22748257 0.47101556 0.05018641],[-0.05088322  0.0235448   0.0935081 ],[0.18159286 0.9949017  1.19406965],[ 0. -0.  0.],[0.08136508 0.04717829 0.00208733],[0. 0. 0.],0.6110866065523383,0,1.2842951558851943,[0.59482462 0.56943716 0.53874653],[0.58998109 0.56481339 0.53319355],[0.55555575 0.5304577  0.50011684],0,[0 0 0],0,[0 0 0]
[0.4734223  0.9811075  0.10202456],[-0.00999999  0.0065074   0.01697516],[0.09019649 0.22698796 1.10402839],[-0.03898809  0.17178463  0.10003933],[0.22724265 0.47093161 0.04897238],[-0.05013199  0.02639267  0.08966095],[0.18193182 0.99509824 1.19407835],[ 0. -0.  0.],[0.08135024 0.04716969 0.00208695],[0. 0. 0.],0.6092882854383864,0,1.2853118569919348,[0.59307201 0.56769383 0.53700165],[0.58825306 0.5630942  0.53148229],[0.55376621 0.52866797 0.49833249],0,[0 0 0],0,[0 0 0]
[0.47340643 0.9809487  0.0990988 ],[-0.00934637  0.00727594  0.01587749],[0.0911433  0.22894986 1.10422659],[-0.03917482  0.17193019  0.10035686],[0.22723519 0.47085546 0.04756754],[-0.0474272   0.03034355  0.0838709 ],[0.18227071 0.99529475 1.19408704],[ 0. -0.  0.],[0.08133541 0.04716109 0.00208657],[0. 0. 0.],0.6074921572006231,0,1.2863294623843338,[0.59131894 0.56595007 0.53525593],[0.58652587 0.56137635 0.52977207],[0.55197833 0.52687992 0.49654947],0,[0 0 0],0,[0 0 0]
[0.47337723 0.98078954 0.09625566],[-0.00913411  0.00805509  0.01511335],[0.09209006 0.23091144 1.1044191 ],[-0.03935741  0.17209135  0.10065909],[0.2272211  0.47077898 0.04620272],[-0.04683813  0.03415006  0.0800356 ],[0.18260955 0.99549122 1.19409573],[ 0. -0.  0.],[0.08132058 0.04715249 0.00208619],[0. 0. 0.],0.6056975144069303,0,1.287343553203998,[0.58956677 0.56420741 0.53351105],[0.58480041 0.5596609  0.52806409],[0.55019118 0.52509265 0.49476702],0,[0 0 0],0,[0 0 0]
[0.4733336  0.9806284  0.09350467],[-0.00884753  0.00871849  0.01441121],[0.09303672 0.23287269 1.10460611],[-0.03953417  0.17226579  0.10094725],[0.22720006 0.47070166 0.04488286],[-0.04579554  0.03744923  0.07642564],[0.18294832 0.99568765 1.19410443],[ 0. -0.  0.],[0.08130575 0.04714389 0.00208581],[0. 0. 0.],0.6039043633671854,0,1.2883557814145137,[0.58781537 0.56246564 0.53176681],[0.58307638 0.55794749 0.52635801],[0.54840491 0.5233063  0.4929853 ],0,[0 0 0],0,[0 0 0]
[0.47328663 0.9804652  0.09084785],[-0.00872409  0.00932646  0.01384902],[0.0939833  0.23483362 1.10478781],[-0.03970855  0.17245237  0.10122418],[0.22717762 0.47062327 0.04360696],[-0.04554156  0.04038812  0.07364331],[0.18328704 0.99588405 1.19411311],[ 0. -0.  0.],[0.08129093 0.04713529 0.00208543],[0. 0. 0.],0.6021124141136639,0,1.2893653497916753,[0.58606518 0.56072532 0.53002385],[0.58135408 0.55623646 0.5246542 ],[0.54661921 0.52152056 0.49120402],0,[0 0 0],0,[0 0 0]
[0.4732256  0.98029995 0.08827114],[-0.00859463  0.00986671  0.01334691],[0.09492975 0.23679422 1.10496435],[-0.03988036  0.17264974  0.10149108],[0.22714832 0.47054397 0.04237014],[-0.04520489  0.04301696  0.07113399],[0.18362569 0.99608041 1.1941218 ],[ 0. -0.  0.],[0.08127611 0.0471267  0.00208504],[0. 0. 0.],0.6003216143438909,0,1.29037288499959,[0.58431624 0.55898646 0.52828219],[0.57963339 0.55452769 0.52295258],[0.54483408 0.51973542 0.48942322],0,[0 0 0],0,[0 0 0]
[0.47315657 0.9801328  0.08576918],[-0.00852966  0.01036191  0.01292455],[0.09587606 0.23875449 1.10513589],[-0.04005086  0.17285702  0.10174952],[0.22711519 0.47046377 0.0411692 ],[-0.0451498   0.04540043  0.06906093],[0.18396427 0.99627673 1.19413049],[ 0. -0.  0.],[0.08126129 0.04711811 0.00208466],[0. 0. 0.],0.5985318282563904,0,1.2913782419866133,[0.58256874 0.5572493  0.52654209],[0.57791437 0.55282127 0.52125326],[0.5430494  0.5179502  0.48764279],0,[0 0 0],0,[0 0 0]
[0.47302997 0.97994375 0.08328307],[-0.00839382  0.01036322  0.012465  ],[0.09682212 0.24071438 1.10530246],[-0.04021865  0.17306432  0.10199878],[0.22705442 0.47037302 0.03997586],[-0.04452271  0.04546     0.06675169],[0.1843028  0.99647302 1.19413917],[ 0. -0.  0.],[0.08124647 0.04710952 0.00208428],[0. 0. 0.],0.5967432020370791,0,1.292389954555057,[0.58082252 0.55551361 0.52480334],[0.57619675 0.55111687 0.51955593],[0.54126544 0.51616617 0.48586297],0,[0 0 0],0,[0 0 0]
[0.47285306 0.9797387  0.08086526],[-0.00829792  0.01011491  0.01200604],[0.09776783 0.24267385 1.10546419],[-0.04038452  0.17326665  0.10223886],[0.2269695  0.47027458 0.03881531],[-0.04396015  0.04430907  0.06447831],[0.18464127 0.99666928 1.19414786],[ 0. -0.  0.],[0.08123166 0.04710093 0.0020839 ],[0. 0. 0.],0.594955730189972,0,1.2934119201932857,[0.57907765 0.55377949 0.52306605],[0.5744805  0.54941449 0.5178606 ],[0.53948219 0.51438288 0.48408376],0,[0 0 0],0,[0 0 0]
[0.47266185 0.97953176 0.07852602],[-0.00822026  0.00994933  0.01159644],[0.09871315 0.24463292 1.10562124],[-0.04054884  0.17346567  0.10247075],[0.22687772 0.47017525 0.03769248],[-0.04352312  0.04354515  0.06245633],[0.18497967 0.99686549 1.19415654],[ 0. -0.  0.],[0.08121685 0.04709234 0.00208352],[0. 0. 0.],0.5931693430073128,0,1.294442309313095,[0.57733421 0.55204704 0.52133031],[0.57276566 0.54771417 0.51616733],[0.53769961 0.51260028 0.48230513],0,[0 0 0],0,[0 0 0]
[0.47246504 0.97932315 0.07623255],[-0.00814223  0.0098424   0.0112412 ],[0.09965808 0.24659156 1.1057737 ],[-0.04071161  0.17366255  0.10269553],[0.22678324 0.47007511 0.03659161],[-0.04311252  0.04306205  0.06069461],[0.18531801 0.99706168 1.19416522],[ 0. -0.  0.],[0.08120204 0.04708375 0.00208314],[0. 0. 0.],0.5913839854578069,0,1.29547969449942,[0.57559226 0.5503163  0.5195962 ],[0.57105218 0.54601588 0.5144761 ],[0.53591767 0.51081834 0.48052706],0,[0 0 0],0,[0 0 0]
[0.4722619  0.97911274 0.0739882 ],[-0.00806904  0.00978601  0.01093173],[0.10060261 0.24854979 1.10592168],[-0.04087291  0.1738583   0.10291413],[0.22668574 0.46997413 0.03551433],[-0.04274902  0.0428185   0.0591563 ],[0.18565629 0.99725782 1.19417389],[ 0. -0.  0.],[0.08118724 0.04707517 0.00208276],[0. 0. 0.],0.5895996063949045,0,1.2965228395513482,[0.57385185 0.54858734 0.5178638 ],[0.56934007 0.54431964 0.51278692],[0.53413634 0.50903703 0.47874954],0,[0 0 0],0,[0 0 0]
[0.47205055 0.9789002  0.07179046],[-0.00799805  0.00976837  0.01065934],[0.10154671 0.25050759 1.10606526],[-0.04103279  0.17405369  0.10312728],[0.22658429 0.46987211 0.03445941],[-0.0424147   0.04275931  0.05779754],[0.18599451 0.99745393 1.19418257],[ 0. -0.  0.],[0.08117243 0.04706659 0.00208239],[0. 0. 0.],0.5878161665352941,0,1.2975707838473294,[0.57211301 0.5468602  0.51613316],[0.56762931 0.54262542 0.5110998 ],[0.53235561 0.50725633 0.47697255],0,[0 0 0],0,[0 0 0]
[0.47183216 0.9786856  0.06963933],[-0.00792956  0.00978315  0.01041746],[0.10249037 0.25246496 1.10620454],[-0.0411913   0.17424938  0.1033356 ],[0.22647946 0.46976912 0.03342687],[-0.04210796  0.04285413  0.05658715],[0.18633267 0.99765001 1.19419125],[ 0. -0.  0.],[0.08115764 0.04705801 0.00208201],[0. 0. 0.],0.5860336326349508,0,1.2986227262161099,[0.57037577 0.54513491 0.51440432],[0.56591988 0.54093324 0.50941473],[0.53057546 0.50547623 0.4751961 ],0,[0 0 0],0,[0 0 0]
[0.47160614 0.97846866 0.06753302],[-0.00786358  0.00982368  0.01020133],[0.10343358 0.2544219  1.10633961],[-0.0413483   0.17444591  0.10353956],[0.22637092 0.46966477 0.03241655],[-0.0417804   0.04308309  0.05548763],[0.18667076 0.99784605 1.19419992],[ 0. -0.  0.],[0.08114284 0.04704943 0.00208163],[0. 0. 0.],0.5842519873327706,0,1.299678032998092,[0.56864016 0.5434115  0.51267731],[0.56421176 0.53924307 0.50773171],[0.52879586 0.50369671 0.47342016],0,[0 0 0],0,[0 0 0]
[0.47137296 0.97824955 0.06547177],[-0.00780642  0.00988579  0.01000953],[0.10437633 0.2563784  1.10647056],[-0.04150418  0.17464368  0.10373969],[0.22625899 0.46955963 0.03142712],[-0.041555    0.04339847  0.05452762],[0.1870088  0.99804205 1.19420859],[ 0. -0.  0.],[0.08112805 0.04704085 0.00208125],[0. 0. 0.],0.5824711874771205,0,1.3007360915717274,[0.56690623 0.54169001 0.5109522 ],[0.56250494 0.53755493 0.50605076],[0.52701682 0.50191775 0.47164474],0,[0 0 0],0,[0 0 0]
[0.4711311  0.9780278  0.06345332],[-0.00774181  0.00996315  0.00983179],[0.10531859 0.25833445 1.10659746],[-0.04165878  0.17484299  0.10393626],[0.22614289 0.46945327 0.03045822],[-0.04130154  0.04379053  0.05362884],[0.18734677 0.99823802 1.19421726],[ 0. -0.  0.],[0.08111326 0.04703228 0.00208087],[0. 0. 0.],0.5806912260453587,0,1.3017965550150445,[0.56517394 0.53997045 0.50922898],[0.56079941 0.5358688  0.50437185],[0.52523834 0.50013936 0.46986983],0,[0 0 0],0,[0 0 0]
[0.4708811  0.97780347 0.06147909],[-0.00768393  0.01005399  0.00967038],[0.10626035 0.26029006 1.10672043],[-0.04181224  0.17504412  0.10412961],[0.22602288 0.4693456  0.02951056],[-0.04108523  0.04424406  0.05281371],[0.18768468 0.99843395 1.19422593],[ 0. -0.  0.],[0.08109847 0.0470237  0.00208049],[0. 0. 0.],0.5789120823136008,0,1.3028590395263304,[0.56344334 0.53825285 0.5075077 ],[0.55909515 0.53418468 0.50269501],[0.5234604  0.49836153 0.46809544],0,[0 0 0],0,[0 0 0]
[0.4706235  0.9775766  0.05954576],[-0.00762355  0.01015425  0.00952053],[0.1072016  0.26224521 1.10683952],[-0.04196451  0.17524726  0.10431996],[0.22589922 0.46923673 0.02858253],[-0.04086158  0.044744    0.0520519 ],[0.18802253 0.99862985 1.1942346 ],[ 0. -0.  0.],[0.08108369 0.04701513 0.00208011],[0. 0. 0.],0.5771337478825395,0,1.3039232980159992,[0.56171442 0.53653721 0.50578835],[0.55739214 0.53250256 0.50102021],[0.52168302 0.49658426 0.46632156],0,[0 0 0],0,[0 0 0]
[0.4703591  0.97734714 0.05765402],[-0.00756729  0.0102632   0.00938284],[0.10814232 0.2641999  1.10695483],[-0.04211566  0.17545257  0.10450756],[0.22577231 0.4691266  0.02767448],[-0.04066105  0.04528378  0.05135172],[0.18836031 0.99882571 1.19424326],[ 0. -0.  0.],[0.08106891 0.04700656 0.00207973],[0. 0. 0.],0.5753562084419065,0,1.3049890681384597,[0.55998719 0.53482354 0.50407097],[0.55569037 0.53082244 0.49934746],[0.51990618 0.49480754 0.46454819],0,[0 0 0],0,[0 0 0]
[0.46935105 0.9771812  0.05363941],[-0.00745541  0.01096439  0.00920439],[0.10908102 0.26615427 1.10706211],[-0.04226461  0.1756719   0.10469159],[0.22528846 0.46904695 0.02574736],[-0.04050124  0.0486772   0.05041016],[0.18869804 0.99902153 1.19425193],[ 0. -0.  0.],[0.08105413 0.04699799 0.00207935],[0. 0. 0.],0.5735796273017781,0,1.306047287685311,[0.55826258 0.53311293 0.50235666],[0.55399104 0.52914569 0.49767812],[0.51812975 0.49303125 0.4627752 ],0,[0 0 0],0,[0 0 0]
[0.46800876 0.9770405  0.04891217],[-0.00726491  0.01165187  0.00901842],[0.11001704 0.26810835 1.10715994],[-0.04240972  0.17590498  0.10487189],[0.22464414 0.46897945 0.02347835],[-0.03995344  0.05204682  0.04936375],[0.1890357  0.99921732 1.19426059],[ 0. -0.  0.],[0.08103935 0.04698942 0.00207897],[0. 0. 0.],0.571804103997781,0,1.3070984960932734,[0.55654077 0.53140558 0.50064565],[0.55229433 0.52747253 0.4960124 ],[0.51635384 0.49125548 0.46100266],0,[0 0 0],0,[0 0 0]
[0.46678877 0.97691154 0.04452872],[-0.00910842  0.01137996  0.00733781],[0.11095061 0.27006217 1.10724899],[-0.04259182  0.1761326   0.10501861],[0.22405863 0.46891756 0.02137378],[-0.0485137   0.04981911  0.04286589],[0.18937331 0.99941308 1.19426925],[ 0. -0.  0.],[0.08102458 0.04698086 0.00207859],[0. 0. 0.],0.570029296333203,0,1.3081648335836227,[0.5548244  0.5297049  0.49894125],[0.55060469 0.52580831 0.49435573],[0.51457535 0.4894774  0.45922759],0,[0 0 0],0,[0 0 0]
[0.465142   0.97679293 0.04005778],[-0.00956625  0.01135957  0.00583518],[0.1118809  0.27201576 1.10732911],[-0.04278307  0.1763598   0.10513528],[0.22326818 0.46886061 0.01922772],[-0.05065885  0.04948727  0.03604948],[0.18971085 0.99960879 1.19427791],[ 0. -0.  0.],[0.08100981 0.04697229 0.00207821],[0. 0. 0.],0.5682561976782617,0,1.3092451326585306,[0.55311076 0.52800758 0.49724002],[0.54891917 0.52414944 0.49270432],[0.51279665 0.48769925 0.45745211],0,[0 0 0],0,[0 0 0]
[0.46216083 0.9767333  0.03475595],[-0.00969636  0.01187646  0.00520086],[0.11280522 0.27396922 1.10739862],[-0.04297691  0.17659733  0.10523927],[0.22183723 0.468832   0.01668284],[-0.05153241  0.05188405  0.03312501],[0.19004833 0.99980448 1.19428657],[ 0. -0.  0.],[0.08099505 0.04696373 0.00207783],[0. 0. 0.],0.5664842184598294,0,1.3103241107335242,[0.55140046 0.5263143  0.49554288],[0.54723724 0.52249543 0.49105778],[0.51101788 0.4859211  0.45567648],0,[0 0 0],0,[0 0 0]
[0.45924032 0.97667193 0.02959085],[-0.00967658  0.01212251  0.0046109 ],[0.1137237  0.27592257 1.1074578 ],[-0.04317037  0.17683978  0.10533146],[0.22043537 0.46880254 0.0142036 ],[-0.05156759  0.05306303  0.03028778],[0.19038574 1.00000012 1.19429522],[ 0. -0.  0.],[0.08098028 0.04695517 0.00207746],[0. 0. 0.],0.5647134415102584,0,1.3114062072411439,[0.54969314 0.52462465 0.49384944],[0.54555838 0.52084568 0.48941555],[0.50923934 0.48414323 0.45390097],0,[0 0 0],0,[0 0 0]
[0.45632482 0.97660995 0.02453816],[-0.00963986  0.01240206  0.00408363],[0.11463635 0.27787579 1.10750688],[-0.04336309  0.17708782  0.10541311],[0.21903595 0.46877277 0.01177831],[-0.05153903  0.05441095  0.02773739],[0.1907231  1.00019573 1.19430388],[ 0. -0.  0.],[0.08096552 0.04694661 0.00207708],[0. 0. 0.],0.5629438141471501,0,1.31249037497623,[0.54798878 0.52293859 0.49215967],[0.54388248 0.51920012 0.48777754],[0.50746106 0.48236564 0.45212561],0,[0 0 0],0,[0 0 0]
[0.45342064 0.9765471  0.01957464],[-0.00952184  0.0126828   0.00361323],[0.11554319 0.27982888 1.10754603],[-0.04355345  0.17734148  0.10548535],[0.21764194 0.46874264 0.00939583],[-0.05112892  0.05580558  0.02539132],[0.1910604  1.00039131 1.19431253],[ 0. -0.  0.],[0.08095076 0.04693806 0.0020767 ],[0. 0. 0.],0.5611753472630555,0,1.3135763479759925,[0.54628722 0.52125596 0.4904734 ],[0.54220929 0.51755848 0.48614349],[0.50568314 0.48058846 0.45035053],0,[0 0 0],0,[0 0 0]
[0.4516636  0.97652483 0.01514375],[-0.00966191  0.01244342  0.00323033],[0.11644652 0.28178193 1.10757632],[-0.04374661  0.17759034  0.10554993],[0.21679856 0.46873191 0.007269  ],[-0.05166807  0.05458971  0.02368389],[0.19139763 1.00058685 1.19432118],[ 0. -0.  0.],[0.08093601 0.0469295  0.00207632],[0. 0. 0.],0.5594076199845657,0,1.3146709475792868,[0.54458862 0.51957701 0.48879092],[0.54053873 0.5159208  0.48451354],[0.50390514 0.47881122 0.4485753 ],0,[0 0 0],0,[0 0 0]
[0.4515394  0.9765644  0.01142812],[-0.01001728  0.01170027  0.00284898],[0.1173496  0.28373506 1.10759917],[-0.04394675  0.17782437  0.10560686],[0.21673888 0.46875078 0.00548606],[-0.05293198  0.05087288  0.02215438],[0.1917348  1.00078235 1.19432983],[ 0. -0.  0.],[0.08092126 0.04692095 0.00207594],[0. 0. 0.],0.557640273887312,0,1.3157816819188342,[0.54289283 0.51790159 0.48711204],[0.53887051 0.51428689 0.48288756],[0.50212662 0.47703353 0.44679956],0,[0 0 0],0,[0 0 0]
[0.45132232 0.9766066  0.00772166],[-0.01013118  0.01140773  0.0024327 ],[0.11825224 0.28568827 1.10761462],[-0.04414919  0.17805255  0.10565547],[0.21663468 0.46877106 0.00370688],[-0.05332695  0.04941557  0.02026617],[0.19207191 1.00097782 1.19433848],[ 0. -0.  0.],[0.08090651 0.0469124  0.00207556],[0. 0. 0.],0.5558735248056459,0,1.3169023819806052,[0.54119932 0.5162291  0.48543611],[0.53720432 0.51265633 0.48126505],[0.50034795 0.47525573 0.4450236 ],0,[0 0 0],0,[0 0 0]
